getpwuid_r did not find a match for uid 501
Filtering the log data using "subsystem == "kc.debug""
Timestamp               Ty Process[PID:TID]
2026-09-08 16:27:53.334 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=0.0 prev=0.0 kbH=335.0 frameY=874.0 anim=nil from=-1.0 to=-1.0 inc=false fin=false last=-1.0
2026-09-08 16:27:53.334 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:53.350 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=874.0 windowH=874.0 -> position=0.0 presentation=set
2026-09-08 16:27:53.350 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=0.0 prev=0.0 kbH=335.0 frameY=874.0 anim=nil from=-1.0 to=-1.0 inc=false fin=false last=-1.0
2026-09-08 16:27:53.350 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:53.366 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=874.0 windowH=874.0 -> position=0.0 presentation=set
2026-09-08 16:27:53.366 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=0.0 prev=0.0 kbH=335.0 frameY=874.0 anim=nil from=-1.0 to=-1.0 inc=false fin=false last=-1.0
2026-09-08 16:27:53.366 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:53.383 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=874.0 windowH=874.0 -> position=0.0 presentation=set
2026-09-08 16:27:53.383 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=0.0 prev=0.0 kbH=335.0 frameY=874.0 anim=nil from=-1.0 to=-1.0 inc=false fin=false last=-1.0
2026-09-08 16:27:53.383 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:53.399 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=874.0 windowH=874.0 -> position=0.0 presentation=set
2026-09-08 16:27:53.400 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=0.0 prev=0.0 kbH=335.0 frameY=874.0 anim=nil from=-1.0 to=-1.0 inc=false fin=false last=-1.0
2026-09-08 16:27:53.400 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick BAIL same-or-zero
2026-09-08 16:27:53.416 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[] crossFade=false opacity=1.0 frameY=874.0 windowH=874.0 -> position=0.0 presentation=set
